Type,Title,URL,Notes,Cost,Comments
Free,Ryerson University & Canvas.net: Web Accessibility for Developers,https://www.canvas.net/browse/ryersonu/courses/adv-web-accessibility,,,
Free,University of Colorado Boulder & Coursera: Basics of Inclusive Design for Online Education,https://www.coursera.org/learn/inclusive-design,,,
Free,Minnesota IT Services: Accessible Word Document Training,https://mn.gov/mnit/about-mnit/accessibility/training/,,,
Free,UNICEF Agora Training on Web Accessibility,https://agora.unicef.org/local/search/index.php?resetsession=1&search=accessibility,,,
Free,edX & W3C - Introduction to Web Accessibility,https://www.edx.org/course/web-accessibility-introduction,,,
Webinars,3playmedia,http://www.3playmedia.com/resources/webinars/,,,
Webinars,Accessibility Association,http://www.accessibilityassociation.org/content.asp?contentid=161,,,
Webinars,Accessibility Talks (A11Y Talks),https://www.youtube.com/channel/UC__nH6oZrFXcUevljYJKbsw/about  Virtual meetup and video series,,,
Educational Videos,3playmedia's Videos,http://www.3playmedia.com/resources/videos/,,,
Educational Videos,A11ycasts with Rob Dodson,https://www.youtube.com/playlist?list=PLNYkxOF6rcICWx0C9LVWWVqvHlYJyqw7g,,,
Educational Videos,Debugging Accessibility with Alice Boxhall,https://www.youtube.com/watch?v=B9qzdVcIj5U&feature=youtu.be,,,
Educational Videos,Marcy Sutton's Accessibility Presentations,https://marcysutton.com/talks/,,,
Educational Videos,State of Texas Creating Accessible Microsoft Office Documents,https://gov.texas.gov/organization/disabilities/accessibledocs,,,
Educational Videos,A11ycasts,https://www.youtube.com/results?search_query=A11ycasts  Created by Google Chrome Developers,,,
Meetups,Accessibility and Inclusive Design Meetup Groups,http://www.lireo.com/accessibility-inclusive-design-in-person-groups/,,,
Meetups,AccessMeetups Twitter list,https://twitter.com/webaxe/lists/accessmeetups,,,
Meetups,Accessibility DC,https://www.meetup.com/Accessibility-DC/,,,
Meetups,Boston Accessibility,https://www.meetup.com/a11yBos/ ,,,
Meetups,Buffalo Accessibility Meet-up (Buffa11y),http://buffa11y.org,,,
Meetups,Chicago Digital Accessibility and Inclusive Design,https://www.meetup.com/a11ychi/ ,,,
Meetups,London Accessibility Meetup,https://www.meetup.com/London-Accessibility-Meetup/,,,
